t,x,y
399,17079,22830
400,17103,22840
401,17128,22860
402,17153,22900
403,17181,22950
404,17209,23000
405,17238,23030
406,17265,23040
407,17290,23070
408,17312,23070
409,17335,23080
410,17358,23100
411,17380,23120
412,17404,23170
413,17430,23220
414,17461,23270
415,17492,23310
416,17523,23320
417,17549,23340
418,17572,23340
